uni,major,depart,course,eng_name,fee,round1,round2,round3,round4,lat,lon
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมปัญญาประดิษฐ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,384000,30,0,30,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,Bachelor of Engineering Program in Industrial Engineering and Intelligent Manufacturing,432000,20,20,20,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Industrial Engineering and Intelligent Manufacturing,432000,20,20,20,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมยานยนต์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการผลิตยานยนต์ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Automotive Manufacturing Engineering,384000,20,0,20,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเมคคาทรอนิกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Engineering Program in Robotics and Automation Engineering,502500,10,0,10,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต อีอีซี,Bachelor of Science Program in Digital and Information Technology,360000,30,0,30,0,13.8879,100.5114
สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต แจ้งวัฒนะ นนทบุรี,Bachelor of Science Program in Digital and Information Technology,360000,30,0,30,0,13.8879,100.5114
มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมโลจิสติกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมโลจิสติกส์) (ภาษาไทย ปกติ),B.Eng. (Logistics Engineering),340000,0,0,60,0,13.7671,100.5516
มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าและพลังงาน) (ภาษาไทย ปกติ),B.Eng. (Electrical and Energy Engineering),340000,0,0,60,0,13.7671,100.5516
มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์) (ภาษาไทย ปกติ),B.Eng. (Computer Engineering and Artificial Intelligence),340000,0,0,60,0,13.7671,100.5516
มหาวิทยาลัยสยาม,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,วศ.บ. วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,Bachelor of Engineering (Industrial Engineering),305700,40,0,20,0,13.7202,100.4769
มหาวิทยาลัยสยาม,คณะวิศวกรรมศาสตร์,วิศวกรรมโยธา,วศ.บ. วิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,Bachelor of Engineering (Civil Engineering),326600,40,0,0,0,13.7202,100.4769
มหาวิทยาลัยสยาม,คณะวิศวกรรมศาสตร์,วิศวกรรมยานยนต์,วศ.บ. วิศวกรรมยานยนต์ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,Bachelor of Engineering Program in Automotive Engineering,301650,40,0,0,0,13.7202,100.4769
มหาวิทยาลัยสยาม,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,วศ.บ. วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,Bachelor of Engineering ( Electrical Engineering ),333500,40,0,0,0,13.7202,100.4769
มหาวิทยาลัยสยาม,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ. วิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,Bachelor of Engineering (Mechanical Engineering),329850,40,0,0,0,13.7202,100.4769
มหาวิทยาลัยสยาม,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,Bachelor of Engineering (Computer Engineering),303500,30,0,20,0,13.7202,100.4769
มหาวิทยาลัยสยาม,คณะวิศวกรรมศาสตร์,วิศวกรรมทั่วไป,"วิศวกรรมศาสตรบัณฑิต (สาขาวิชาวิศวกรรมยานยนต์,สาขาวิชาวิศวกรรมเครื่องกล,สาขาวิชาวิศวกรรมไฟฟ้า,สาขาวิชาวิศวกรรมโยธา เลือกสาขาภายหลัง) (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก","Bachelor of Engineering (Automotive Engineering, Mechanical Engineering, Electrical Engineering ,Civil Engineering)",320000,0,0,80,0,13.7202,100.4769
มหาวิทยาลัยศรีปทุม,คณะวิศวกรรมศาสตร์ (กทม.),วิศวกรรมอุตสาหการ,วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการและการจัดการ (การจัดการวิศวกรรม) (ภาษาไทย ปกติ),B.Eng. Industrial Engineering (Engineering Management),0,5,5,5,5,13.8751,100.5828
มหาวิทยาลัยศรีปทุม,คณะวิศวกรรมศาสตร์ (กทม.),วิศวกรรมอุตสาหการ,วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการและการจัดการ (ภาษาไทย ปกติ),B.Eng. Industrial Engineering,0,5,5,5,5,13.8751,100.5828
มหาวิทยาลัยศรีปทุม,คณะวิศวกรรมศาสตร์ (กทม.),วิศวกรรมระบบราง,วศ.บ. สาขาวิชาวิศวกรรมระบบราง (ภาษาไทย ปกติ),B.Eng.  Railway Engineering,0,5,5,5,10,13.8751,100.5828
มหาวิทยาลัยศรีปทุม,คณะวิศวกรรมศาสตร์ (กทม.),วิศวกรรมโยธา,วศ.บ. สาขาวิชาวิศวกรรมโยธา(การจัดการงานก่อสร้าง) (ภาษาไทย ปกติ),B.Eng. Civil Engineering (Construction Management),0,25,25,25,25,13.8751,100.5828
มหาวิทยาลัยศรีปทุม,คณะวิศวกรรมศาสตร์ (กทม.),วิศวกรรมโยธา,วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),B.Eng. Civil Engineering,0,25,25,25,25,13.8751,100.5828
มหาวิทยาลัยศรีปทุม,คณะวิศวกรรมศาสตร์ (กทม.),วิศวกรรมไฟฟ้า,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า  (ระบบควบคุมอัตโนมัติและหุ่นยนต์) (ภาษาไทย ปกติ),B.Eng. Electrical Engineering (Automated control systems and robots),0,25,25,25,25,13.8751,100.5828
มหาวิทยาลัยศรีปทุม,คณะวิศวกรรมศาสตร์ (กทม.),วิศวกรรมไฟฟ้า,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),B.Eng. Electrical Engineering,0,25,25,25,25,13.8751,100.5828
มหาวิทยาลัยศรีปทุม,คณะวิศวกรรมศาสตร์ (กทม.),วิศวกรรมเครื่องกล,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล(เทคโนโลยียานยนต์สมัยใหม่) (ภาษาไทย ปกติ),B.Eng.  Mechanical Engineering (Next Generation Automotive Technologies),0,10,10,10,10,13.8751,100.5828
มหาวิทยาลัยศรีปทุม,คณะวิศวกรรมศาสตร์ (กทม.),วิศวกรรมเครื่องกล,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล(เทคโนโลยีอาคาร) (ภาษาไทย ปกติ),B.Eng.  Mechanical Engineering (Building technology),0,10,10,10,10,13.8751,100.5828
มหาวิทยาลัยศรีปทุม,คณะวิศวกรรมศาสตร์ (กทม.),วิศวกรรมเครื่องกล,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),B.Eng.  Mechanical Engineering,0,10,10,10,10,13.8751,100.5828
มหาวิทยาลัยรังสิต,วิทยาลัยวิศวกรรมชีวการแพทย์,วิศวกรรมชีวการแพทย์,วศ.บ.วิศวกรรมชีวการแพทย์ (ภาษาไทย ปกติ),B.Eng. Biomedical Engineering,497800,0,0,30,0,13.9642,100.5858
มหาวิทยาลัยรังสิต,วิทยาลัยวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ),B.Eng. Industrial Engineering,386300,0,0,30,0,13.9642,100.5858
มหาวิทยาลัยรังสิต,วิทยาลัยวิศวกรรมศาสตร์,วิศวกรรมโยธา,วศ.บ.วิศวกรรมโยธา (ภาษาไทย ปกติ),B.Eng. Civil Engineering,414800,0,0,30,0,13.9642,100.5858
มหาวิทยาลัยรังสิต,วิทยาลัยวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,วศ.บ.วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),B.Eng. Electrical Engineering,397200,0,0,30,0,13.9642,100.5858
มหาวิทยาลัยรังสิต,วิทยาลัยวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ.วิศวกรรมเครื่องกล (ภาษาไทย ปกติ),B.Eng. Mechanical Engineering,394000,0,0,30,0,13.9642,100.5858
มหาวิทยาลัยรังสิต,วิทยาลัยวิศวกรรมศาสตร์,วิศวกรรมเคมี,วศ.บ.วิศวกรรมเคมี (ภาษาไทย ปกติ),B.ENG. Chemical Engineering,384800,0,0,30,0,13.9642,100.5858
มหาวิทยาลัยรังสิต,วิทยาลัยวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),B.Eng. Computer Engineering,396800,0,0,30,0,13.9642,100.5858
มหาวิทยาลัยปทุมธานี,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมโยธา,วิศวกรรมศาสตรบัณฑิต สาขาวิชาภาษาไทย (ต่อเนื่อง ปกติ),Bachelor of Engineering,380000,0,0,10,0,13.9787,100.5319
มหาวิทยาลัยปทุมธานี,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมโยธา,วิศวกรรมศาสตรบัณฑิต สาขาวิชาภาษาไทย (ภาษาไทย ปกติ),Bachelor of Engineering,368000,0,0,10,0,13.9787,100.5319
มหาวิทยาลัยปทุมธานี,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมไฟฟ้า,วิศวกรรมศาสตรบัณฑิต สาขาวิชาภาษาไทย (ภาษาไทย ปกติ),Bachelor of Engineering,368000,0,0,10,0,13.9787,100.5319
มหาวิทยาลัยปทุมธานี,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเครื่องกล,วิศวกรรมศาสตรบัณฑิต สาขาวิชาภาษาไทย (ภาษาไทย ปกติ),Bachelor of Engineering,368000,0,0,10,0,13.9787,100.5319
มหาวิทยาลัยธุรกิจบัณฑิตย์,วิทยาลัยนวัตกรรมด้านเทคโนโลยีและวิศวกรรมศาสตร์,วิศวกรรมโลจิสติกส์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลจิสติกส์ (ภาษาไทย ปกติ),Bachelor of Engineering Program in Logistics Engineering,344000,40,40,40,0,13.8222,100.5288
มหาวิทยาลัยธุรกิจบัณฑิตย์,วิทยาลัยนวัตกรรมด้านเทคโนโลยีและวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),Bachelor of Engineering Program in Computer Engineering,348000,30,30,30,0,13.8222,100.5288
มหาวิทยาลัยธุรกิจบัณฑิตย์,วิทยาลัยนวัตกรรมด้านเทคโนโลยีและวิศวกรรมศาสตร์,เทคโนโลยีสารสนเทศ,วิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีสารสนเทศและวิทยาการข้อมูล (ภาษาไทย ปกติ),Bachelor of Science Program in Information Technology and Data,330000,40,40,40,0,13.8222,100.5288
มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมศาสตร์,วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ),Standard curriculum,0,0,0,50,0,13.7261,100.792
มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมศาสตร์,วิศวกรรมโยธา,หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ),Standard curriculum,0,0,0,50,0,13.7261,100.792
มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมศาสตร์,วิศวกรรมเมคคาทรอนิกส์,หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ),Standard curriculum,0,0,0,50,0,13.7261,100.792
มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมศาสตร์,วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ),Standard curriculum,0,0,0,50,0,13.7261,100.792
มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมศาสตร์,วิศวกรรมไฟฟ้ากำลัง,หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ),Standard curriculum,0,0,0,50,0,13.7261,100.792
มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ),Standard curriculum,0,0,0,50,0,13.7261,100.792
มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ),Standard curriculum,0,0,0,50,0,13.7261,100.792
มหาวิทยาลัยเกษมบัณฑิต,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตร่มเกล้า,B.Eng. (Industrial Engineering),282410,0,0,60,0,13.738,100.6114
มหาวิทยาลัยเกษมบัณฑิต,คณะวิศวกรรมศาสตร์,วิศวกรรมโยธา,วศ.บ.วิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตร่มเกล้า,B.Eng. (Civil Engineering),281390,0,0,40,0,13.738,100.6114
มหาวิทยาลัยเกษมบัณฑิต,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ.วิศวกรรมเครื่องกล สาขาวิชาวิศวกรรมเครื่องกล-ซ่อมบำรุงอากาศยาน (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตร่มเกล้า,B.Eng. (Mechanical Engineering),480000,0,0,60,0,13.738,100.6114
มหาวิทยาลัยเกษมบัณฑิต,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ.วิศวกรรมเครื่องกล สาขาวิชาวิศวกรรมเครื่องกล-นักบิน (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตร่มเกล้า,B.Eng. (Mechanical Engineering),2682910,0,0,60,0,13.738,100.6114
มหาวิทยาลัยเกษมบัณฑิต,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ.วิศวกรรมเครื่องกล สาขาวิชาวิศวกรรมเครื่องกล-เครื่องกล (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตร่มเกล้า,B.Eng. (Mechanical Engineering),272910,0,0,60,0,13.738,100.6114
มหาวิทยาลัยเกษมบัณฑิต,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตร่มเกล้า,B.Eng. (Computer Engineering),258250,0,0,40,0,13.738,100.6114
มหาวิทยาลัยเกษมบัณฑิต,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,วศ.บ.วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตพัฒนาการ,B.Eng. (Electrical Engineering),280159,0,0,40,0,13.738,100.6114
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Engineering Program in Industrial Engineering,96000,15,5,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,วิศวกรรมอิเล็กทรอนิกส์,วศ.บ.วิศวกรรมโทรคมนาคม (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Engineering Program in Telecommunication Engineering,96000,6,2,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,วิศวกรรมวัสดุ,วศ.บ.วิศวกรรมโลหการ (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Engineering Program in Metallurgical Engineering,96000,6,2,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ.วิศวกรรมเครื่องกล-ระบบอัตโนมัติ หุ่นยนต์ และปัญญาประดิษฐ์ (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Engineering Program in Mechanical Engineering - Automation Robotics and Artificial Intelligence,96000,2,2,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ.วิศวกรรมเครื่องกล-วิชาเอกวิศวกรรมระบบราง (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Engineering Program in Mechanical Engineering-Railway System,96000,3,2,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ.วิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Engineering Program in Mechanical Engineering,96000,3,2,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Engineering Program in Computer Engineering,96000,8,2,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,วิศวกรรมเกษตร,วศ.บ.วิศวกรรมแปรรูปอาหารและผลิตผลการเกษตร (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Engineering Program in Processing Engineering of Food and Agricultural Products,96000,3,2,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,วิศวกรรมเกษตร,วศ.บ.วิศวกรรมเครื่องจักรกลเกษตร (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Engineering Program in Agricultural Machinery Engineering,96000,8,2,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,ฟิสิกส์,วท.บ.ฟิสิกส์และอุปกรณ์การแพทย์ (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Science Program in Medical Instrumentation Physics,82400,3,2,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,เคมี,วท.บ.เคมี-อุตสาหกรรม (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Science Program in Chemistry-Industrial Chemistry,82400,1,1,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์,เคมี,วท.บ.เคมี-บูรณาการ (ภาษาไทย ปกติ) วิทยาเขต ขอนแก่น,Bachelor of Science Program in Chemistry-Integrated Chemistry,82400,1,1,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอุตสาหการ,วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Industrial Engineering,96000,10,1,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอิเล็กทรอนิกส์,วศ.บ.วิศวกรรมอิเล็กทรอนิกส์และระบบควบคุมอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Program in Electronics Engineering and Automatic Control System,96000,3,3,3,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอิเล็กทรอนิกส์,วศ.บ.วิศวกรรมอิเล็กทรอนิกส์-ระบบสื่อสาร (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Electronics Engineering - Communication System,96000,2,2,15,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมอากาศยาน,วศ.บ.วิศวกรรมซ่อมบำรุงอากาศยาน (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Aircraft Maintenance Engineering,96000,5,5,20,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมสำรวจ,วศ.บ.วิศวกรรมสำรวจและภูมิสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Survey Engineering and Geomatics,96000,10,10,10,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมวัสดุ,วศ.บ.วิศวกรรมวัสดุ-พอลิเมอร์ (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Materials Engineering,96000,20,20,20,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมวัสดุ,วศ.บ.วิศวกรรมวัสดุ-โลหการ (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Materials Engineering,96000,20,20,20,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมโลจิสติกส์,วศ.บ.วิศวกรรมโลจิสติกส์ (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Logistics Engineering,96000,5,1,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมระบบราง,วศ.บ.วิศวกรรมระบบราง (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Railway Systems Engineering,96000,10,8,7,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมโยธา,วศ.บ.วิศวกรรมโยธาและโครงสร้างพื้นฐาน (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Program in Civil and Infrastructure Engineering,96000,5,5,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมโยธา,วศ.บ.วิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Civil Engineering,96000,12,0,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเมคคาทรอนิกส์,วศ.บ.วิศวกรรมเมคคาทรอนิกส์ (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Mechatronics Engineering,96000,3,3,5,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,วศ.บ.วิศวกรรมโทรคมนาคม (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Telecommunication Engineering,96000,2,2,20,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมไฟฟ้า,วศ.บ.วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Electrical Engineering,96000,3,2,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเครื่องกล,วศ.บ.วิศวกรรมเครื่องจักรกลหนัก (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Programin Heavy Equipment Engineering,96000,5,5,0,0,15.2186,104.8574
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเครื่องกล,วศ.บ.วิศวกรรมการทำความเย็นและการปรับอากาศ (ภาษาไทย ปกติ) วิทยาเขต นครราชสีมา,Bachelor of Engineering Programin Refrigeration and Air Conditioning Engineering,96000,2,2,5,0,15.2186,104.8574
